product_link,title,reviews,price,stars,img_link,availability
https://www.amazon.com/Apple-12-9-inch-iPad-Pro-Wi-Fi-256GB/dp/B0BJLFC67L/ref=sr_1_1?keywords=ipad+pro&qid=1694599337&sr=8-1,"Apple iPad Pro 12.9-inch (6th Generation): with M2 chip, Liquid Retina XDR Display, 256GB, Wi-Fi 6E, 12MP front/12MP and 10MP Back Cameras, Face ID, All-Day Battery Life – Space Gray","1,274 ratings",,4.7 out of 5 stars,https://m.media-amazon.com/images/I/81c+9BOQNWL._AC_SX342_SY445_.jpg,Only 8 left in stock - order soon
https://www.amazon.com/2021-Apple-11-inch-Wi%E2%80%91Fi-128GB/dp/B095S3PRGV/ref=sr_1_2?keywords=ipad+pro&qid=1694599337&sr=8-2,"2021 Apple 11-inch iPad Pro (Wi‑Fi, 128GB) - Silver (Renewed)",810 ratings,$619.00,4.4 out of 5 stars,https://m.media-amazon.com/images/I/81kXSgs+eFL._AC_SY300_SX300_.jpg,Only 2 left in stock - order soon.
https://www.amazon.com/Apple-12-9-inch-Wi-Fi-Cellular-128GB/dp/B08FMRY1S5/ref=sr_1_3?keywords=ipad+pro&qid=1694599337&sr=8-3,"2020 Apple iPad Pro (12.9-inch, Wi-Fi + Cellular, 128GB) - Space Gray (Renewed)","1,650 ratings",$694.99,4.5 out of 5 stars,https://m.media-amazon.com/images/I/81Hz7EvjAvL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 12 left in stock - order soon.
https://www.amazon.com/Apple-iPad-Pro-11-inch-Wi-Fi/dp/B08CBJZKKF/ref=sr_1_4?keywords=ipad+pro&qid=1694599337&sr=8-4,"2020 Apple iPad Pro 2nd Gen (11 inch, Wi-Fi, 1TB) Space Gray (Renewed)",733 ratings,$779.00,4.5 out of 5 stars,https://m.media-amazon.com/images/I/81zpCCNnByL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 7 left in stock - order soon.
https://www.amazon.com/Apple-Tablet-Wi-Fi-Silver-Renewed/dp/B01KAKPB4Y/ref=sr_1_5?keywords=ipad+pro&qid=1694599337&sr=8-5,"Apple iPad Pro Tablet (32GB, Wi-Fi, 9.7in) Silver (Renewed)",634 ratings,$171.00,4.5 out of 5 stars,https://m.media-amazon.com/images/I/91xKRosDu2L.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 2 left in stock - order soon.
https://www.amazon.com/Apple-iPad-64GB-WiFi-Only/dp/B07QND6M4T/ref=sr_1_6?keywords=ipad+pro&qid=1694599337&sr=8-6,"Apple iPad Pro 2018 (11-inch, Wi-Fi, 64GB) - Silver (Renewed)","3,351 ratings",$389.95,4.4 out of 5 stars,https://m.media-amazon.com/images/I/61dKbl+8XSL._AC_SY300_SX300_.jpg,Only 2 left in stock - order soon.
https://www.amazon.com/Apple-11-inch-iPad-Pro-Wi-Fi-128GB/dp/B0BJLBKMV8/ref=sr_1_7?keywords=ipad+pro&qid=1694599337&sr=8-7,"Apple iPad Pro 11-inch (4th Generation): with M2 chip, Liquid Retina Display, 128GB, Wi-Fi 6E, 12MP front/12MP and 10MP Back Cameras, Face ID, All-Day Battery Life – Space Gray","1,243 ratings",,4.8 out of 5 stars,https://m.media-amazon.com/images/I/81gC7frRJyL.__AC_SY445_SX342_QL70_FMwebp_.jpg,Only 20 left in stock - order soon
https://www.amazon.com/Apple-Tablet-128GB-9-7in-Renewed/dp/B06XKLQ83L/ref=sr_1_8?keywords=ipad+pro&qid=1694599337&sr=8-8,"Apple iPad Pro Tablet (128GB, LTE, 9.7in) Gold (Renewed)",109 ratings,$236.00,4.6 out of 5 stars,https://m.media-amazon.com/images/I/91GdIWCNm4L.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 2 left in stock - order soon.
https://www.amazon.com/2021-Apple-12-9-inch-iPad-Wi%E2%80%91Fi/dp/B09835HVDM/ref=sr_1_9?keywords=ipad+pro&qid=1694599337&sr=8-9,iPad Pro5 12.9in 1TB Silver WiFi,940 ratings,$939.00,4.3 out of 5 stars,https://m.media-amazon.com/images/I/81Lg76GZ3ML.__AC_SX300_SY300_QL70_FMwebp_.jpg,Currently unavailable
https://www.amazon.com/Apple-iPad-Pro-12-9-inch-Generation/dp/B07Q8RX57R/ref=sr_1_10?keywords=ipad+pro&qid=1694599337&sr=8-10,"Apple iPad Pro 12.9-inch, 3rd Generation - Wi-Fi, 256GB - Space Gray (Renewed)","3,589 ratings",$579.00,4.4 out of 5 stars,https://m.media-amazon.com/images/I/61kXsWp8PTS.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 15 left in stock - order soon.
https://www.amazon.com/Apple-128GB-Wi-Fi-Tablet-Refurbished/dp/B01C131M6E/ref=sr_1_11?keywords=ipad+pro&qid=1694599337&sr=8-11,"Apple iPad Pro (128GB, Wi-Fi, Space Gray) 12.9in Tablet (Renewed)","1,189 ratings",$399.00,4.2 out of 5 stars,https://m.media-amazon.com/images/I/81R3IhW3yUL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Currently unavailable
https://www.amazon.com/Apple-iPad-Pro-WiFi-Cellular/dp/B08B2FJ6GQ/ref=sr_1_12?keywords=ipad+pro&qid=1694599337&sr=8-12,"Apple iPad Pro 2th Gen (WiFi+Cellular) - 11"" - 1TB - Space Gray - MXF12LL/A (Renewed)",272 ratings,$835.00,4.3 out of 5 stars,https://m.media-amazon.com/images/I/81cqAewulzL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 1 left in stock - order soon.
https://www.amazon.com/Apple-12-9-inch-Wi-Fi-Cellular-256GB/dp/B0BSMX36ZK/ref=sr_1_13?keywords=ipad+pro&qid=1694599337&sr=8-13,"2022 Apple iPad Pro (12.9-inch, Wi-Fi + Cellular, 256GB) - Silver (Renewed)",44 ratings,"$1,304.00",4.2 out of 5 stars,https://m.media-amazon.com/images/I/81XnFruH+QL._AC_SY300_SX300_.jpg,Only 9 left in stock - order soon.
https://www.amazon.com/Apple-iPad-Pro-10-5-Refurbished/dp/B077ZG1ZT6/ref=sr_1_14?keywords=ipad+pro&qid=1694599337&sr=8-14,Apple iPad Pro 10.5in - 256GB Wifi - 2017 Model - Gray (Renewed),631 ratings,$290.00,4.5 out of 5 stars,https://m.media-amazon.com/images/I/71L+DGdHyWL._AC_SY300_SX300_.jpg,Only 14 left in stock - order soon.
