Title,Price,Stars,Link
"2021 Apple 11-inch iPad Pro (Wi‑Fi, 128GB) - Silver (Renewed)",629.,4.7 out of 5 stars.,/2021-Apple-11-inch-Wi%E2%80%91Fi-128GB/dp/B095S3PRGV/ref=sr_1_1?keywords=ipad+pro&qid=1693812967&sr=8-1
"Apple iPad Pro 12.9-inch (6th Generation): with M2 chip, Liquid Retina XDR Display, 512GB, Wi-Fi 6E, 12MP front/12MP and 10MP Back Cameras, Face ID, All-Day Battery Life – Silver","1,299.",4.8 out of 5 stars.,/Apple-12-9-inch-iPad-Pro-Wi-Fi-512GB/dp/B0BJLDQVZP/ref=sr_1_2?keywords=ipad+pro&qid=1693812967&sr=8-2
"Apple iPad Pro 2018 (11-inch, Wi-Fi, 64GB) - Silver (Renewed)",389.,4.7 out of 5 stars.,/Apple-iPad-64GB-WiFi-Only/dp/B07QND6M4T/ref=sr_1_3?keywords=ipad+pro&qid=1693812967&sr=8-3
"Apple iPad Pro Tablet (32GB, Wi-Fi, 9.7in) Silver (Renewed)",172.,4.4 out of 5 stars,/Apple-Tablet-Wi-Fi-Silver-Renewed/dp/B01KAKPB4Y/ref=sr_1_4?keywords=ipad+pro&qid=1693812967&sr=8-4
"2020Apple iPad Pro (11-inch, Wi-Fi, 128GB) - Space Gray (Renewed)",579.,4.7 out of 5 stars,/Apple-iPad-11-inch-Wi-Fi-128GB/dp/B08B2T2178/ref=sr_1_5?keywords=ipad+pro&qid=1693812967&sr=8-5
Apple iPad Pro 10.5in - 256GB Wifi - 2017 Model - Gray (Renewed),295.,4.4 out of 5 stars,/Apple-iPad-Pro-10-5-Refurbished/dp/B077ZG1ZT6/ref=sr_1_6?keywords=ipad+pro&qid=1693812967&sr=8-6
"Apple iPad Pro Tablet (128GB, LTE, 9.7in) Space Gray (Renewed)",202.,4.5 out of 5 stars,/Apple-Tablet-128GB-9-7in-Renewed/dp/B06XKH8DTC/ref=sr_1_7?keywords=ipad+pro&qid=1693812967&sr=8-7
"2021 Apple 12.9-inch iPad Pro (Wi‑Fi, 1TB) - Silver (Renewed)",939.,4.4 out of 5 stars,/2021-Apple-12-9-inch-iPad-Wi%E2%80%91Fi/dp/B09835HVDM/ref=sr_1_8?keywords=ipad+pro&qid=1693812967&sr=8-8
"2020 Apple iPad Pro 2nd Gen (11 inch, Wi-Fi + Cellular, 512GB) Space Gray (Renewed)",699.,4.5 out of 5 stars,/Apple-iPad-Pro-WiFi-Cellular/dp/B08CBLY583/ref=sr_1_9?keywords=ipad+pro&qid=1693812967&sr=8-9
iPad Pro3 12.9in 512GB Gray 4G,580.,4.4 out of 5 stars,/Apple-12-9-inch-Wi-Fi-Cellular-512GB/dp/B07T1VVMYY/ref=sr_1_10?keywords=ipad+pro&qid=1693812967&sr=8-10
"Apple iPad Pro Tablet (128GB, Wi-Fi, 9.7in) Gold (Renewed)",219.,4.4 out of 5 stars,/Apple-Tablet-128GB-Wi-Fi-Renewed/dp/B01KAKPD2E/ref=sr_1_11?keywords=ipad+pro&qid=1693812967&sr=8-11
"Apple iPad Pro (128GB, Wi-Fi, Space Gray) 12.9in Tablet (Renewed)",378.,4.3 out of 5 stars,/Apple-128GB-Wi-Fi-Tablet-Refurbished/dp/B01C131M6E/ref=sr_1_12?keywords=ipad+pro&qid=1693812967&sr=8-12
"2022 Apple iPad Pro (12.9-inch, Wi-Fi + Cellular, 256GB) - Silver (Renewed)","1,099.",4.4 out of 5 stars,/Apple-12-9-inch-Wi-Fi-Cellular-256GB/dp/B0BSMX36ZK/ref=sr_1_13?keywords=ipad+pro&qid=1693812967&sr=8-13
Apple iPad Pro 12.9in (5th Gen.) - 128GB - WiFi - Space Gray (Renewed Premium),799.,4.4 out of 5 stars,/Apple-iPad-Pro-12-9in-Gen/dp/B0BFBZJZV1/ref=sr_1_14?keywords=ipad+pro&qid=1693812967&sr=8-14
"2022 Apple iPad Pro (11-inch, Wi-Fi + Cellular, 128GB) - Silver (Renewed)",820.,4.2 out of 5 stars,/Apple-11-inch-Wi-Fi-Cellular-128GB/dp/B0BTRLY3PY/ref=sr_1_15?keywords=ipad+pro&qid=1693812967&sr=8-15
"Apple iPad Pro (32GB, Wi-Fi + Cellular, Gray) 9.7in Tablet (Renewed)",164.,4.4 out of 5 stars,/Apple-iPad-Pro-Cellular-Renewed/dp/B01JJBGQTO/ref=sr_1_16?keywords=ipad+pro&qid=1693812967&sr=8-16
